name,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
		NetPPE,"17,488,000,000","17,052,000,000","16,274,000,000","15,441,000,000","15,244,000,000","15,109,000,000","14,882,000,000","14,436,000,000","14,224,000,000","14,011,000,000","13,900,000,000","14,403,000,000","14,113,000,000","14,040,000,000","13,967,000,000","13,701,000,000","13,521,000,000","13,467,000,000","13,385,000,000","14,036,000,000","13,919,000,000","13,971,000,000","13,865,000,000","13,505,000,000","13,386,000,000","13,238,000,000","13,318,000,000","13,284,000,000","13,609,000,000","13,584,000,000","13,766,000,000","13,695,000,000","11,432,000,000","11,527,000,000","11,762,000,000","12,032,000,000","12,179,000,000","12,347,000,000","12,397,000,000","12,359,000,000","12,443,000,000","13,950,000,000","14,461,000,000","14,606,000,000","14,756,000,000","16,192,000,000","16,938,000,000","17,721,000,000","18,281,000,000","18,833,000,000","19,123,000,000","19,450,000,000","20,041,000,000","21,651,000,000","22,780,000,000","13,173,000,000","13,194,000,000","12,936,000,000","13,287,000,000","14,332,000,000","14,925,000,000","15,383,000,000","15,734,000,000","15,714,000,000","16,298,000,000","16,481,000,000","16,632,000,000","16,417,000,000","16,483,000,000","17,103,000,000","17,090,000,000","17,519,000,000","17,673,000,000","17,912,000,000","18,385,000,000","17,477,000,000","17,299,000,000","17,703,000,000","18,287,000,000","17,961,000,000","18,279,000,000","11,038,000,000","10,712,000,000","11,076,000,000","10,784,000,000","10,496,000,000","10,415,000,000","10,166,000,000","9,818,000,000","9,601,000,000","9,425,000,000","9,178,000,000","9,025,000,000","5,466,000,000","5,343,000,000","5,059,000,000","4,738,000,000","4,531,000,000","4,415,000,000","4,115,000,000","4,166,000,000","4,139,000,000","4,137,000,000","3,998,000,000","3,943,000,000","3,848,000,000","3,850,000,000","3,678,000,000","3,571,000,000","3,521,000,000","3,472,600,000","3,473,600,000","3,589,700,000","3,430,600,000","3,073,200,000","2,941,900,000","2,805,600,000","2,692,800,000","2,632,500,000","2,539,500,000","2,480,100,000","2,341,700,000","2,305,100,000","2,624,400,000","2,429,700,000","2,391,200,000","2,381,000,000","2,243,000,000","2,161,500,000","2,168,400,000","2,109,800,000","2,115,200,000","1,949,100,000","1,863,200,000","1,784,100,000","1,655,100,000","1,505,900,000","1,351,300,000","1,268,300,000"
			GrossPPE,"33,042,000,000","32,566,000,000","31,448,000,000","30,372,000,000","30,213,000,000","30,467,000,000","29,956,000,000","29,839,000,000","29,552,000,000","29,116,000,000","28,712,000,000","31,039,000,000","31,002,000,000","30,969,000,000","30,756,000,000","30,429,000,000","29,910,000,000","29,625,000,000","29,976,000,000","31,114,000,000","30,763,000,000","30,636,000,000","30,037,000,000","29,411,000,000","28,892,000,000","28,288,000,000","28,125,000,000","28,122,000,000","28,246,000,000","27,586,000,000","27,268,000,000",,,,"24,988,000,000",,,,"25,678,000,000",,,,"27,882,000,000",,,,"30,522,000,000",,,,"32,298,000,000",,,,"33,924,000,000",,,,"25,128,000,000","26,701,000,000","27,294,000,000","27,752,000,000","28,103,000,000","26,145,000,000","26,729,000,000","26,912,000,000","27,063,000,000","25,944,000,000","26,010,000,000","26,630,000,000","26,617,000,000","26,718,000,000","26,207,000,000","26,446,000,000","26,919,000,000","25,489,000,000","24,601,000,000","25,069,000,000","25,381,000,000","24,338,000,000","24,522,000,000","16,835,000,000","16,143,000,000","16,896,000,000","16,342,000,000","15,799,000,000","15,548,000,000","15,261,000,000","14,718,000,000","14,469,000,000","14,134,000,000","14,014,000,000","13,745,000,000","8,218,000,000","7,417,000,000","7,667,000,000","7,248,000,000","7,024,000,000","6,844,000,000","6,386,000,000","6,548,000,000","6,509,000,000","6,127,000,000","6,314,000,000","6,203,000,000","6,023,000,000","6,005,000,000","5,764,000,000","5,639,000,000","5,543,000,000","5,463,400,000","5,501,700,000","5,712,800,000","5,440,700,000","4,992,900,000","4,841,300,000","4,634,600,000","4,453,700,000","4,300,700,000","4,185,600,000","4,032,100,000","3,893,700,000","3,816,400,000","4,332,800,000","4,041,800,000","4,027,000,000","4,007,500,000","3,822,000,000","3,702,000,000","3,724,600,000","3,616,300,000","3,684,400,000","3,518,300,000","3,398,300,000","3,252,500,000","3,153,600,000","2,875,900,000","2,541,900,000","2,303,300,000"
				Properties,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				LandAndImprovements,,,"368,000,000",,,,"423,000,000",,,,"444,000,000",,,,"516,000,000",,,,"500,000,000",,,,"540,000,000",,,,"530,000,000",,,,"588,000,000",,,,"529,000,000",,,,"557,000,000",,,,"597,000,000",,,,"747,000,000",,,,"803,000,000",,,,"937,000,000",,,,"616,000,000",,,,"718,000,000",,,,"641,000,000",,,,"645,000,000",,,,"688,000,000",,,,"522,000,000",,,,"252,000,000",,,,"206,000,000",,,,"200,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				BuildingsAndImprovements,,,"8,832,000,000",,,,"9,001,000,000",,,,"9,022,000,000",,,,"10,068,000,000",,,,"9,920,000,000",,,,"10,254,000,000",,,,"9,810,000,000",,,,"9,604,000,000",,,,"9,355,000,000",,,,"10,055,000,000",,,,"11,420,000,000",,,,"12,804,000,000",,,,"13,405,000,000",,,,"14,186,000,000",,,,"8,775,000,000",,,,"10,319,000,000",,,,"9,877,000,000",,,,"9,735,000,000",,,,"9,771,000,000",,,,"9,296,000,000",,,,"5,407,000,000",,,,"4,395,000,000",,,,"3,898,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,,,"17,372,000,000",,,,"16,709,000,000",,,,"15,694,000,000",,,,"17,211,000,000",,,,"16,564,000,000",,,,"16,563,000,000",,,,"15,658,000,000",,,,"15,284,000,000",,,,"13,833,000,000",,,,"13,964,000,000",,,,"14,757,000,000",,,,"15,832,000,000",,,,"17,055,000,000",,,,"16,835,000,000",,,,"13,933,000,000",,,,"15,308,000,000",,,,"14,403,000,000",,,,"13,993,000,000",,,,"14,065,000,000",,,,"13,077,000,000",,,,"9,000,000,000",,,,"8,990,000,000",,,,"8,170,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				OtherProperties,,,"1,000,000",,,,,,,,"-1,000,000",,,,"1,000,000",,,,"1,000,000",,,,,,,,,,,,"1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,,,"4,875,000,000",,,,"3,822,000,000",,,,"3,552,000,000",,,,"2,960,000,000",,,,"2,992,000,000",,,,"2,680,000,000",,,,"2,127,000,000",,,,"1,791,000,000",,,,"1,271,000,000",,,,"1,102,000,000",,,,"1,108,000,000",,,,"1,139,000,000",,,,"1,035,000,000",,,,"1,966,000,000",,,,"1,804,000,000",,,,"1,758,000,000",,,,"2,142,000,000",,,,"2,244,000,000",,,,"2,395,000,000",,,,"2,486,000,000",,,,"1,484,000,000",,,,"1,957,000,000",,,,"1,866,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-15,554,000,000","-15,514,000,000","-15,174,000,000","-14,931,000,000","-14,969,000,000","-15,358,000,000","-15,074,000,000","-15,403,000,000","-15,328,000,000","-15,105,000,000","-14,812,000,000","-16,636,000,000","-16,889,000,000","-16,929,000,000","-16,789,000,000","-16,728,000,000","-16,389,000,000","-16,158,000,000","-16,591,000,000","-17,078,000,000","-16,844,000,000","-16,665,000,000","-16,172,000,000","-15,906,000,000","-15,506,000,000","-15,050,000,000","-14,807,000,000","-14,838,000,000","-14,637,000,000","-14,002,000,000","-13,502,000,000",,,,"-13,226,000,000",,,,"-13,281,000,000",,,,"-13,421,000,000",,,,"-13,584,000,000",,,,"-13,175,000,000",,,,"-11,144,000,000",,,,"-11,841,000,000","-12,369,000,000","-12,369,000,000","-12,369,000,000","-12,369,000,000","-10,431,000,000","-10,431,000,000","-10,431,000,000","-10,431,000,000","-9,527,000,000","-9,527,000,000","-9,527,000,000","-9,527,000,000","-9,199,000,000","-8,534,000,000","-8,534,000,000","-8,534,000,000","-8,012,000,000","-7,302,000,000","-7,366,000,000","-7,094,000,000","-6,377,000,000","-6,243,000,000","-5,797,000,000","-5,431,000,000","-5,820,000,000","-5,558,000,000","-5,303,000,000","-5,133,000,000","-5,095,000,000","-4,900,000,000","-4,868,000,000","-4,709,000,000","-4,836,000,000","-4,720,000,000","-2,752,000,000","-2,074,000,000","-2,608,000,000","-2,510,000,000","-2,493,000,000","-2,429,000,000","-2,271,000,000","-2,382,000,000","-2,370,000,000","-1,990,000,000","-2,316,000,000","-2,260,000,000","-2,175,000,000","-2,155,000,000","-2,086,000,000","-2,068,000,000","-2,022,000,000","-1,990,800,000","-2,028,100,000","-2,123,100,000","-2,010,100,000","-1,919,700,000","-1,899,400,000","-1,829,000,000","-1,760,900,000","-1,668,200,000","-1,646,100,000","-1,552,000,000","-1,552,000,000","-1,511,300,000","-1,708,400,000","-1,612,100,000","-1,635,800,000","-1,626,500,000","-1,579,000,000","-1,540,500,000","-1,556,200,000","-1,506,500,000","-1,569,200,000","-1,569,200,000","-1,535,100,000","-1,468,400,000","-1,498,500,000","-1,370,000,000","-1,190,600,000","-1,035,000,000"
		GoodwillAndOtherIntangibleAssets,"92,979,000,000","93,477,000,000","94,745,000,000","77,591,000,000","78,956,000,000","80,027,000,000","74,354,000,000","75,795,000,000","77,190,000,000","77,764,000,000","78,049,000,000","90,830,000,000","91,991,000,000","92,966,000,000","94,022,000,000","97,660,000,000","86,377,000,000","87,527,000,000","88,622,000,000","100,921,000,000","102,420,000,000","104,082,000,000","104,692,000,000","105,799,000,000","106,362,000,000","107,082,000,000","107,097,000,000","110,518,000,000","93,656,000,000","88,160,000,000","88,600,000,000","90,514,000,000","74,995,000,000","76,187,000,000","77,236,000,000","79,099,000,000","80,021,000,000","80,589,000,000","81,904,000,000","82,949,000,000","84,207,000,000","87,861,000,000","90,685,000,000","91,579,000,000","92,967,000,000","98,053,000,000","98,900,000,000","101,006,000,000","102,166,000,000","103,350,000,000","101,505,000,000","102,414,000,000","105,373,000,000","107,128,000,000","110,391,000,000","37,921,000,000","38,405,000,000","38,405,000,000","39,185,000,000","40,331,000,000","41,579,000,000","41,452,000,000","41,880,000,000","42,208,000,000","43,887,000,000","44,412,000,000","45,226,000,000","46,374,000,000","47,191,000,000","51,814,000,000","51,560,000,000","52,782,000,000","53,409,000,000","54,672,000,000","57,007,000,000","56,676,000,000","57,289,000,000","59,454,000,000","58,656,000,000","57,151,000,000","59,537,000,000","1,230,000,000","1,200,000,000","1,304,000,000","1,288,000,000","1,824,000,000","1,722,000,000","1,764,000,000","1,776,000,000","1,797,000,000","1,791,000,000","1,761,000,000","1,806,000,000","753,000,000","763,000,000","776,000,000","779,000,000","788,000,000","813,000,000","883,000,000","1,023,000,000","1,270,000,000","1,294,000,000","1,316,000,000","1,344,000,000","1,375,000,000","1,424,000,000","1,478,000,000","1,476,000,000","1,327,000,000","1,243,000,000","1,174,300,000","1,218,200,000","1,212,300,000","325,700,000","291,900,000","288,700,000","261,100,000","231,100,000","234,200,000","1,193,100,000","358,400,000","368,200,000","361,500,000","344,500,000","364,100,000","383,600,000","479,100,000","483,100,000","496,500,000","498,700,000","1,030,200,000","470,800,000","471,200,000","430,000,000","419,400,000","237,900,000","217,000,000","121,400,000"
