name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990
ChangeInInventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18600000,14400000,-7700000,-43700000,-73800000,12100000,-31100000,-56100000,-67200000,18100000,8000000,-72800000,-69400000,13600000,3800000,-97500000,-37900000,23600000,5700000,-46800000,-21300000
ChangeInPayablesAndAccruedExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11200000,119900000,39200000,6300000,2500000,199400000,12600000,-38000000,-143500000,121900000,-20500000,-16600000,-15100000,44700000,-10000000,46600000,-7000000,116700000,-48200000,38200000,-35800000
ChangeInOtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186800000,-900000,19100000,-14000000,-15700000,27100000,-57000000,-10800000,-4100000,-228600000,-6100000,-14300000,-94700000,-150000000,-21600000,-5900000,-28800000,-55000000,-19800000,21300000,-35200000
ChangeInOtherCurrentLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3000000,-404000000,,-145200000,-138600000,-16000000,-63300000,4900000,50100000,-5200000,404400000,-148700000,8100000,-26000000,187300000,-7000000,29100000,3900000,4500000,-5100000,49200000,-39500000,36500000,25100000,200000,-1900000
ChangeInOtherWorkingCapital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1470000000,87000000,631000000,-2262000000,1120000000,840000000,1567000000,-3587000000,788000000,145000000,267000000,-903000000,,-1340000000,-675000000,-259000000,,846000000,-861000000,-2841000000,,-1291000000,-536000000,-561000000,,-342000000,380000000,-1086000000,,212000000,529000000,-421000000,,233000000,109000000,-204000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashFromDiscontinuedOperatingActivities,5000000,,,0,5000000,-5000000,0,-349000000,-3000000,0,9000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29000000,100000000,79000000,-40000000,-10206000000,,,,,,,,,,,,0,0,0,14000000,,,,,-1000000,0,,,,,,,0,,,,-217000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InvestingCashFlow,-27207000000,-25485000000,3315000000,-4410000000,-627000000,-11313000000,567000000,-2586000000,-10076000000,-8137000000,-1747000000,8330000000,481000000,-13011000000,-71000000,-2833000000,-6760000000,-1902000000,7550000000,-764000000,-2904000000,-1474000000,9667000000,-4779000000,-2996000000,-1738000000,4772000000,-3107000000,-4381000000,-4678000000,4355000000,-2224000000,-5243000000,-2105000000,6592000000,-1514000000,-2535000000,-1507000000,-98000000,80000000,-611000000,836000000,-10930000000,6837000000,-247000000,-887000000,451000000,899000000,215000000,361000000,725000000,-5645000000,-3880000000,-361000000,9394000000,-4367000000,-298000000,-12973000000,-13634000000,-2780000000,-1107000000,-3464000000,-5484000000,-2799000000,47000000,-724000000,4271000000,435000000,344000000,-1109000000,5431000000,-7779000000,-1462000000,6855000000,-2686000000,-2689000000,37000000,-3049000000,-3721000000,899000000,106000000,5716000000,-1883000000,-584000000,-793000000,-1885000000,-1076000000,-2055000000,-1424000000,-2487000000,-1259000000,-393000000,-1791000000,-1494000000,-75000000,-182000000,-1003000000,-560000000,-1023000000,-1514000000,1467000000,-449000000,161000000,-236000000,-206000000,-249000000,-331000000,234000000,-854000000,-582000000,265000000,-352200000,-33300000,-293200000,-1664100000,-183000000,-166600000,-407800000,-82900000,87000000,-28800000,45300000,-300400000,346800000,-182200000,48100000,177200000,130500000,-145700000,-208100000,98100000,23600000,-258200000,-192600000,98200000
CashFlowFromContinuingInvestingActivities,-27206000000,-25486000000,3316000000,-4411000000,-625000000,-11314000000,567000000,-2573000000,-10076000000,-8137000000,-1747000000,8411000000,483000000,-13012000000,-71000000,-2834000000,-6759000000,-1902000000,7549000000,-762000000,-2905000000,-1474000000,9667000000,-4779000000,-2996000000,-1738000000,4772000000,-3107000000,-4382000000,-4678000000,4355000000,-2225000000,-5243000000,-2104000000,6592000000,-1514000000,-2535000000,-1507000000,-98000000,80000000,-611000000,836000000,-10930000000,6837000000,-247000000,-887000000,451000000,899000000,215000000,361000000,725000000,-5645000000,-3880000000,-361000000,9394000000,-4367000000,-298000000,-12973000000,-13634000000,-2780000000,-1107000000,-3464000000,-5484000000,-2799000000,47000000,-724000000,4271000000,435000000,344000000,-1109000000,5431000000,-7779000000,-1462000000,6855000000,-2686000000,-2689000000,37000000,-3049000000,-3721000000,899000000,106000000,5716000000,-1883000000,-584000000,-793000000,-1885000000,-1076000000,-2055000000,-1424000000,-2487000000,-1259000000,-393000000,-1791000000,-1494000000,-75000000,-182000000,-1003000000,-560000000,-1023000000,-1514000000,1467000000,-449000000,161000000,-236000000,-206000000,-249000000,-331000000,234000000,-854000000,-582000000,265000000,-352200000,-33300000,-293200000,-1664100000,-183000000,-166600000,-407800000,-82900000,87000000,-28800000,45300000,-300400000,346800000,-182200000,48100000,177200000,130500000,-145700000,-208100000,98100000,23600000,-258200000,-192600000,98200000
NetPPEPurchaseAndSale,-3895000000,-914000000,-1139000000,-1001000000,-841000000,-751000000,-643000000,-993000000,-624000000,-540000000,-554000000,-785000000,-525000000,-479000000,-463000000,-672000000,-565000000,-479000000,-460000000,-685000000,-547000000,-424000000,-386000000,-700000000,-450000000,-448000000,-358000000,-689000000,-432000000,-401000000,-301000000,-611000000,-289000000,-258000000,-239000000,-354000000,-275000000,-278000000,-292000000,-417000000,-278000000,-309000000,-202000000,-494000000,-285000000,-294000000,-254000000,-598000000,-454000000,-358000000,-250000000,-547000000,-288000000,-373000000,-305000000,-422000000,-261000000,-269000000,-253000000,-353000000,-480000000,-385000000,-483000000,-662000000,-461000000,-428000000,-329000000,-609000000,-551000000,-469000000,-418000000,-594000000,-495000000,-518000000,-372000000,-991000000,52000000,-23000000,-363000000,-777000000,-645000000,3587000000,796000000,-285000000,-399000000,-461000000,-393000000,-556000000,-455000000,-549000000,-430000000,-565000000,-500000000,-524000000,-318000000,-360000000,-417000000,-335000000,-352000000,98000000,1904000000,-283000000,221000000,-276000000,-226000000,-209000000,-211000000,89000000,-197000000,-531000000,218000000,-203100000,-177500000,-119300000,-196400000,-193700000,-188700000,-160900000,-128200000,-444900000,-179800000,-65600000,56100000,4500000,-176300000,288100000,106100000,15500000,-148000000,-136000000,-113000000,105700000,-150100000,-82900000,-68400000
PurchaseOfPPE,-3895000000,-914000000,-1139000000,-1001000000,-841000000,-751000000,-643000000,-993000000,-624000000,-540000000,-554000000,-785000000,-525000000,-479000000,-463000000,-672000000,-565000000,-479000000,-460000000,-685000000,-547000000,-424000000,-386000000,-700000000,-450000000,-448000000,-358000000,-689000000,-432000000,-401000000,-301000000,-611000000,-289000000,-258000000,-239000000,-354000000,-275000000,-278000000,-292000000,-417000000,-278000000,-309000000,-202000000,-494000000,-285000000,-294000000,-254000000,-598000000,-454000000,-358000000,-250000000,-547000000,-288000000,-373000000,-305000000,-422000000,-261000000,-269000000,-253000000,-353000000,-480000000,-385000000,-483000000,-662000000,-461000000,-428000000,-329000000,-612000000,-551000000,-469000000,-418000000,-613000000,-496000000,-532000000,-465000000,-1075000000,-565000000,-489000000,-472000000,-779000000,-658000000,-822000000,-382000000,-499000000,-400000000,-461000000,-398000000,-684000000,-540000000,-549000000,-430000000,-524000000,-624000000,-725000000,-318000000,-457000000,-417000000,-335000000,-352000000,-385000000,-326000000,-283000000,-204000000,-297000000,-226000000,-209000000,-211000000,-264000000,-197000000,-178000000,-135000000,-203100000,-177500000,-119300000,-196400000,-193700000,-188700000,-160900000,-128200000,-203700000,-143800000,-156900000,-129800000,-222100000,-176300000,-150800000,-125000000,-185500000,-152400000,-140000000,-115900000,-154600000,-153500000,-136500000,-102900000
