name,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
AccumulatedDepreciation,-15554000000,-15514000000,-15174000000,-14931000000,-14969000000,-15358000000,-15074000000,-15403000000,-15328000000,-15105000000,-14812000000,-16636000000,-16889000000,-16929000000,-16789000000,-16728000000,-16389000000,-16158000000,-16591000000,-17078000000,-16844000000,-16665000000,-16172000000,-15906000000,-15506000000,-15050000000,-14807000000,-14838000000,-14637000000,-14002000000,-13502000000,,,,-13226000000,,,,-13281000000,,,,-13421000000,,,,-13584000000,,,,-13175000000,,,,-11144000000,,,,-11841000000,-12369000000,-12369000000,-12369000000,-12369000000,-10431000000,-10431000000,-10431000000,-10431000000,-9527000000,-9527000000,-9527000000,-9527000000,-9199000000,-8534000000,-8534000000,-8534000000,-8012000000,-7302000000,-7366000000,-7094000000,-6377000000,-6243000000,-5797000000,-5431000000,-5820000000,-5558000000,-5303000000,-5133000000,-5095000000,-4900000000,-4868000000,-4709000000,-4836000000,-4720000000,-2752000000,-2074000000,-2608000000,-2510000000,-2493000000,-2429000000,-2271000000,-2382000000,-2370000000,-1990000000,-2316000000,-2260000000,-2175000000,-2155000000,-2086000000,-2068000000,-2022000000,-1990800000,-2028100000,-2123100000,-2010100000,-1919700000,-1899400000,-1829000000,-1760900000,-1668200000,-1646100000,-1552000000,-1552000000,-1511300000,-1708400000,-1612100000,-1635800000,-1626500000,-1579000000,-1540500000,-1556200000,-1506500000,-1569200000,-1569200000,-1535100000,-1468400000,-1498500000,-1370000000,-1190600000,-1035000000
GoodwillAndOtherIntangibleAssets,92979000000,93477000000,94745000000,77591000000,78956000000,80027000000,74354000000,75795000000,77190000000,77764000000,78049000000,90830000000,91991000000,92966000000,94022000000,97660000000,86377000000,87527000000,88622000000,100921000000,102420000000,104082000000,104692000000,105799000000,106362000000,107082000000,107097000000,110518000000,93656000000,88160000000,88600000000,90514000000,74995000000,76187000000,77236000000,79099000000,80021000000,80589000000,81904000000,82949000000,84207000000,87861000000,90685000000,91579000000,92967000000,98053000000,98900000000,101006000000,102166000000,103350000000,101505000000,102414000000,105373000000,107128000000,110391000000,37921000000,38405000000,38405000000,39185000000,40331000000,41579000000,41452000000,41880000000,42208000000,43887000000,44412000000,45226000000,46374000000,47191000000,51814000000,51560000000,52782000000,53409000000,54672000000,57007000000,56676000000,57289000000,59454000000,58656000000,57151000000,59537000000,1230000000,1200000000,1304000000,1288000000,1824000000,1722000000,1764000000,1776000000,1797000000,1791000000,1761000000,1806000000,753000000,763000000,776000000,779000000,788000000,813000000,883000000,1023000000,1270000000,1294000000,1316000000,1344000000,1375000000,1424000000,1478000000,1476000000,1327000000,1243000000,1174300000,1218200000,1212300000,325700000,291900000,288700000,261100000,231100000,234200000,1193100000,358400000,368200000,361500000,344500000,364100000,383600000,479100000,483100000,496500000,498700000,1030200000,470800000,471200000,430000000,419400000,237900000,217000000,121400000
Goodwill,51572000000,51476000000,51375000000,49441000000,49891000000,50211000000,49208000000,49489000000,49867000000,49791000000,49577000000,59902000000,58449000000,58502000000,58653000000,58665000000,53352000000,53487000000,53411000000,55614000000,55836000000,56393000000,55952000000,56078000000,55014000000,54656000000,54449000000,56281000000,50600000000,48558000000,48242000000,47217000000,41571000000,41854000000,42069000000,42724000000,42661000000,42467000000,42519000000,42400000000,42431000000,43752000000,44672000000,44370000000,44568000000,45252000000,45067000000,45409000000,45107000000,44853000000,43947000000,43787000000,43142000000,42648000000,42376000000,21796000000,21794000000,21482000000,21464000000,21353000000,21704000000,21556000000,21382000000,21210000000,20985000000,20911000000,20876000000,21051000000,21057000000,23741000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIntangibleAssets,41407000000,42001000000,43370000000,28150000000,29065000000,29816000000,25146000000,26306000000,27323000000,27973000000,28472000000,30928000000,33542000000,34464000000,35369000000,38995000000,33025000000,34040000000,35211000000,45307000000,46584000000,47689000000,48740000000,49721000000,51348000000,52426000000,52648000000,54237000000,43056000000,39602000000,40358000000,43297000000,33424000000,34333000000,35167000000,36375000000,37360000000,38122000000,39385000000,40549000000,41776000000,44109000000,46013000000,47209000000,48399000000,52801000000,53833000000,55597000000,57059000000,58497000000,57558000000,58627000000,62231000000,64480000000,68015000000,16125000000,16611000000,16923000000,17721000000,18978000000,19875000000,19896000000,20498000000,20998000000,22902000000,23501000000,24350000000,25323000000,26134000000,28073000000,51560000000,52782000000,53409000000,54672000000,57007000000,56676000000,57289000000,59454000000,58656000000,57151000000,59537000000,1230000000,1200000000,1304000000,1288000000,1824000000,1722000000,1764000000,1776000000,1797000000,1791000000,1761000000,1806000000,753000000,763000000,776000000,779000000,788000000,813000000,883000000,1023000000,1270000000,1294000000,1316000000,1344000000,1375000000,1424000000,1478000000,1476000000,1327000000,1243000000,1174300000,1218200000,1212300000,325700000,291900000,288700000,261100000,231100000,234200000,1193100000,358400000,368200000,361500000,344500000,364100000,383600000,479100000,483100000,496500000,498700000,1030200000,470800000,471200000,430000000,419400000,237900000,217000000,121400000
InvestmentsAndAdvances,15066000000,14743000000,15069000000,13888000000,18963000000,20737000000,21526000000,21597000000,20942000000,20228000000,20262000000,19008000000,18720000000,18220000000,20147000000,18722000000,2905000000,2859000000,2767000000,6444000000,6595000000,6945000000,7015000000,7311000000,7008000000,7346000000,7116000000,9507000000,13124000000,14146000000,15999000000,16233000000,17650000000,18289000000,17518000000,18451000000,17168000000,15822000000,16406000000,15731000000,16107000000,15392000000,14149000000,13429000000,10548000000,10632000000,9457000000,9468000000,10207000000,9811000000,9748000000,10344000000,10524000000,12081000000,13122000000,12166000000,12576000000,13536000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LongTermEquityInvestment,11422000000,11175000000,11033000000,9826000000,14799000000,15995000000,16472000000,16349000000,16608000000,16532000000,16856000000,15949000000,15578000000,15524000000,17133000000,15999000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InvestmentinFinancialAssets,3644000000,3568000000,4036000000,4062000000,4164000000,,,,,,,,,2696000000,,2723000000,2906000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TradingSecurities,,,,,,,,,,,,,,,,,53000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AvailableForSaleSecurities,3594000000,3516000000,3988000000,4026000000,4125000000,,,,,,,,,2656000000,,2680000000,2806000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeldToMaturitySecurities,50000000,52000000,48000000,36000000,39000000,,,,,,,,,40000000,,43000000,47000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
