name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990
			PurchaseOfPPE,"-3,895,000,000","-914,000,000","-1,139,000,000","-1,001,000,000","-841,000,000","-751,000,000","-643,000,000","-993,000,000","-624,000,000","-540,000,000","-554,000,000","-785,000,000","-525,000,000","-479,000,000","-463,000,000","-672,000,000","-565,000,000","-479,000,000","-460,000,000","-685,000,000","-547,000,000","-424,000,000","-386,000,000","-700,000,000","-450,000,000","-448,000,000","-358,000,000","-689,000,000","-432,000,000","-401,000,000","-301,000,000","-611,000,000","-289,000,000","-258,000,000","-239,000,000","-354,000,000","-275,000,000","-278,000,000","-292,000,000","-417,000,000","-278,000,000","-309,000,000","-202,000,000","-494,000,000","-285,000,000","-294,000,000","-254,000,000","-598,000,000","-454,000,000","-358,000,000","-250,000,000","-547,000,000","-288,000,000","-373,000,000","-305,000,000","-422,000,000","-261,000,000","-269,000,000","-253,000,000","-353,000,000","-480,000,000","-385,000,000","-483,000,000","-662,000,000","-461,000,000","-428,000,000","-329,000,000","-612,000,000","-551,000,000","-469,000,000","-418,000,000","-613,000,000","-496,000,000","-532,000,000","-465,000,000","-1,075,000,000","-565,000,000","-489,000,000","-472,000,000","-779,000,000","-658,000,000","-822,000,000","-382,000,000","-499,000,000","-400,000,000","-461,000,000","-398,000,000","-684,000,000","-540,000,000","-549,000,000","-430,000,000","-524,000,000","-624,000,000","-725,000,000","-318,000,000","-457,000,000","-417,000,000","-335,000,000","-352,000,000","-385,000,000","-326,000,000","-283,000,000","-204,000,000","-297,000,000","-226,000,000","-209,000,000","-211,000,000","-264,000,000","-197,000,000","-178,000,000","-135,000,000","-203,100,000","-177,500,000","-119,300,000","-196,400,000","-193,700,000","-188,700,000","-160,900,000","-128,200,000","-203,700,000","-143,800,000","-156,900,000","-129,800,000","-222,100,000","-176,300,000","-150,800,000","-125,000,000","-185,500,000","-152,400,000","-140,000,000","-115,900,000","-154,600,000","-153,500,000","-136,500,000","-102,900,000"
			SaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,000,000","1,000,000","14,000,000","93,000,000","84,000,000","617,000,000","466,000,000","109,000,000","2,000,000","13,000,000","4,409,000,000","1,178,000,000","214,000,000","1,000,000","0","5,000,000","128,000,000",,,,"-41,000,000","124,000,000",,,,,,,"483,000,000","2,230,000,000","0","425,000,000",,,,,,,,"353,000,000",,,,,,,,,,"-36,000,000","91,300,000","185,900,000","226,600,000","0","438,900,000","231,100,000","201,000,000","4,400,000","4,000,000","2,900,000","260,300,000","3,400,000","53,600,000","34,500,000"
		NetIntangiblesPurchaseAndSale,,,,,,,,,,,,"-501,000,000","-5,000,000","-1,000,000","-32,000,000","-54,000,000","-97,000,000","-109,000,000","-158,000,000","-107,000,000","-15,000,000",,,"-73,000,000","-147,000,000",,,"-80,000,000","0","-96,000,000","0","-51,000,000","-36,000,000","-5,000,000","-7,000,000","-42,000,000","-286,000,000","-50,000,000","-6,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PurchaseOfIntangibles,,,,,,,,,,,,"-501,000,000","-5,000,000","-1,000,000","-32,000,000","-54,000,000","-97,000,000","-109,000,000","-158,000,000","-107,000,000","-15,000,000",,,"-73,000,000","-147,000,000",,,"-80,000,000","0","-96,000,000","0","-51,000,000","-36,000,000","-5,000,000","-7,000,000","-42,000,000","-286,000,000","-50,000,000","-6,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetBusinessPurchaseAndSale,"-16,797,000,000","-25,000,000","0","-16,772,000,000","0","0","-6,225,000,000",,,,,,,,,"0",,,,"0","0","0","0","0","0","-415,000,000","-585,000,000","-689,000,000","-13,063,000,000","-4,506,000,000","-110,000,000","-144,000,000","-15,643,000,000","-1,000,000","-678,000,000","0","-195,000,000",,,"0","0","-15,000,000","0","11,582,000,000","0","0","-782,000,000","-94,000,000","2,357,000,000","0","-3,169,000,000",,,,,"-43,123,000,000","0","0","0","-210,000,000","0","-352,000,000","-610,000,000","24,000,000","-15,000,000","7,000,000","-456,000,000","-153,000,000","8,000,000","-542,000,000","-1,433,000,000","0","-1,849,000,000",,,"-820,000,000","0","-1,000,000","-1,442,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PurchaseOfBusiness,"-16,797,000,000","-25,000,000","0","-16,772,000,000","0","0","-6,225,000,000",,,,,,,,,"0",,,,"0","0","0","0","0","0","-415,000,000","-585,000,000","-689,000,000","-13,063,000,000","-4,506,000,000","-110,000,000","-144,000,000","-15,643,000,000","-1,000,000","-678,000,000","0","-195,000,000",,,"0","0","-15,000,000","0","-268,000,000","0","0","-782,000,000","-94,000,000","-19,000,000","0","-3,169,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,850,000,000",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetInvestmentPurchaseAndSale,"-9,830,000,000","-24,022,000,000","4,473,000,000","13,354,000,000","-3,635,000,000","-10,485,000,000","7,448,000,000","-1,645,000,000","-9,154,000,000","-7,362,000,000","-1,356,000,000","9,617,000,000","838,000,000","-12,547,000,000","420,000,000","-2,168,000,000","4,798,000,000","-1,426,000,000","8,100,000,000","-10,000,000","-2,453,000,000","-1,131,000,000","10,028,000,000","-4,137,000,000","-2,463,000,000","-992,000,000","5,418,000,000","-1,640,000,000","9,079,000,000","305,000,000","4,760,000,000","-1,417,000,000","10,712,000,000","-1,843,000,000","7,186,000,000","-1,140,000,000","-1,816,000,000","-1,261,000,000","-6,000,000","523,000,000","-298,000,000","1,153,000,000","-10,754,000,000","-2,865,000,000","-1,497,000,000","-566,000,000","1,516,000,000","2,149,000,000","-2,100,000,000","647,000,000","4,010,000,000","-5,600,000,000","-3,569,000,000","-287,000,000","9,479,000,000","39,054,000,000","-199,000,000","-12,865,000,000","-13,566,000,000","-1,877,000,000","487,000,000","-2,580,000,000","-4,287,000,000","-2,188,000,000","445,000,000","93,000,000","5,049,000,000","1,214,000,000","893,000,000","-116,000,000","7,491,000,000","-6,983,000,000","1,207,000,000","7,535,000,000","-2,398,000,000","-893,000,000","54,000,000","-3,069,000,000","-1,627,000,000","1,917,000,000","1,046,000,000","381,000,000","-2,742,000,000","364,000,000","-624,000,000","-1,389,000,000","-622,000,000","-1,461,000,000","-933,000,000","-1,945,000,000","-784,000,000","540,000,000","-1,790,000,000","-366,000,000","226,000,000","505,000,000","-915,000,000","-250,000,000","-664,000,000","-1,468,000,000","58,000,000","-143,000,000","-83,000,000","139,000,000","-80,000,000","0","-159,000,000","1,331,000,000","-641,000,000","-297,000,000","235,000,000","-104,600,000","-146,300,000","-212,100,000","37,200,000","-36,400,000","99,300,000","-188,700,000","58,100,000","467,000,000","-58,600,000","79,700,000","-402,200,000","179,000,000","-32,500,000","-194,200,000","22,800,000","92,500,000","-76,000,000","-55,400,000","70,700,000","139,200,000","-165,000,000","56,100,000","77,300,000"
			PurchaseOfInvestment,"-47,681,000,000","-25,599,000,000","-6,716,000,000","3,425,000,000","-18,791,000,000","-13,980,000,000","-9,434,000,000","-13,320,000,000","-17,706,000,000","-9,510,000,000","-7,077,000,000","5,932,000,000","-3,076,000,000","-14,269,000,000","-2,989,000,000","-2,319,000,000","-531,000,000","-2,700,000,000","-1,486,000,000","-4,607,000,000","-4,675,000,000","-2,674,000,000","-1,518,000,000","-9,138,000,000","-4,938,000,000","-2,616,000,000","-1,441,000,000","-8,245,000,000","-7,822,000,000","-7,322,000,000","-4,797,000,000","-10,477,000,000","-6,195,000,000","-10,755,000,000","-10,696,000,000","-16,124,000,000","-19,140,000,000","-15,879,000,000","-10,529,000,000","-13,208,000,000","-17,553,000,000","-8,713,000,000","-18,584,000,000","-11,882,000,000","-10,569,000,000","-5,184,000,000","-7,528,000,000","-5,589,000,000","-7,150,000,000","-4,468,000,000","-5,284,000,000","-7,159,000,000","-2,680,000,000","-1,976,000,000","-3,036,000,000","20,982,000,000","-19,035,000,000","-23,000,000,000","-21,166,000,000","-17,401,000,000","-7,699,000,000","-8,816,000,000","-11,146,000,000","-9,049,000,000","-6,031,000,000","-5,206,000,000","-6,775,000,000","-2,215,000,000","-3,396,000,000","-2,960,000,000","-2,951,000,000","-11,237,000,000","-9,489,000,000","-2,616,000,000","-5,385,000,000","-6,327,000,000","-3,134,000,000","-4,311,000,000","-5,056,000,000","-119,000,000","-2,529,000,000","-3,515,000,000","-5,651,000,000","-863,000,000","-6,167,000,000","-4,036,000,000","-4,463,000,000","-6,401,000,000","-5,353,000,000","-3,447,000,000","-2,730,000,000","-556,000,000","-2,937,000,000","-2,839,000,000","-1,650,000,000","-3,839,000,000","-1,895,000,000","-989,000,000","-1,910,000,000","-3,192,000,000","-768,000,000","-1,216,000,000","-669,000,000","1,164,000,000","-563,000,000","-359,000,000","-559,000,000","405,000,000","-1,486,000,000","-1,066,000,000","-715,000,000","-749,000,000","-552,400,000","-861,000,000","-448,000,000","-310,800,000","-258,700,000","-434,500,000","-351,900,000","84,400,000","-287,500,000","-155,600,000","-402,200,000","249,300,000","-406,800,000","-265,300,000","-112,900,000","48,600,000","-90,500,000","-114,000,000","-54,700,000","122,300,000","-29,400,000","-59,700,000","-122,800,000"
			SaleOfInvestment,"37,851,000,000","1,577,000,000","11,189,000,000","9,929,000,000","15,156,000,000","3,495,000,000","16,882,000,000","11,675,000,000","8,552,000,000","2,148,000,000","5,721,000,000","3,685,000,000","3,914,000,000","1,722,000,000","3,409,000,000","151,000,000","5,329,000,000","1,274,000,000","9,586,000,000","4,597,000,000","2,222,000,000","1,543,000,000","11,546,000,000","5,001,000,000","2,475,000,000","1,624,000,000","6,859,000,000","6,605,000,000","16,901,000,000","7,627,000,000","9,557,000,000","9,060,000,000","16,907,000,000","8,912,000,000","17,882,000,000","14,984,000,000","17,324,000,000","14,618,000,000","10,523,000,000","13,731,000,000","17,255,000,000","9,866,000,000","7,830,000,000","9,017,000,000","9,072,000,000","4,618,000,000","9,044,000,000","7,738,000,000","5,050,000,000","5,115,000,000","9,294,000,000","1,559,000,000","-889,000,000","1,689,000,000","12,515,000,000","18,072,000,000","18,836,000,000","10,135,000,000","7,600,000,000","15,524,000,000","8,186,000,000","6,236,000,000","6,859,000,000","6,861,000,000","6,476,000,000","5,299,000,000","11,824,000,000","3,429,000,000","4,289,000,000","2,844,000,000","10,442,000,000","4,254,000,000","10,696,000,000","10,151,000,000","2,987,000,000","5,434,000,000","3,188,000,000","1,242,000,000","3,429,000,000","2,036,000,000","3,575,000,000","3,896,000,000","2,909,000,000","1,227,000,000","5,543,000,000","2,647,000,000","3,841,000,000","4,940,000,000","4,420,000,000","1,502,000,000","1,946,000,000","1,096,000,000","1,147,000,000","2,473,000,000","1,876,000,000","4,344,000,000","980,000,000","739,000,000","1,246,000,000","1,724,000,000","826,000,000","1,073,000,000","586,000,000","-1,025,000,000","483,000,000","359,000,000","400,000,000","926,000,000","845,000,000","769,000,000","950,000,000","644,400,000","406,100,000","648,900,000","485,200,000","274,400,000","358,000,000","245,800,000","410,000,000","382,600,000","228,900,000",,,"-70,300,000","374,300,000","71,100,000","135,700,000","43,900,000","14,500,000","58,600,000","125,400,000","16,900,000","-135,600,000","115,800,000","200,100,000"
